split,model,lexical_weight,semantic_weight,behavioral_weight,impressions,hit_at_5,hit_at_10,mrr,mean_candidates,runtime_seconds
train,lexical_semantic,0.5,0.5,0.0,232887,0.582853486884197,0.8574372979170155,0.3132185221691788,11.103011331675877,163.50420580001082
train,lexical_behavioral,0.5,0.0,0.5,232887,0.6369999184153688,0.8837247248665662,0.34467366921250986,11.103011331675877,163.50420580001082
train,semantic_behavioral,0.0,0.5,0.5,232887,0.6483530639322933,0.8878941289123051,0.35381463177501354,11.103011331675877,163.50420580001082
validation,lexical_semantic,0.5,0.5,0.0,244647,0.5550814030010587,0.8349335982047603,0.2963188161176631,11.972114924769157,171.65191240003332
validation,lexical_behavioral,0.5,0.0,0.5,244647,0.6096620845544806,0.8594055925476298,0.3320130534739874,11.972114924769157,171.65191240003332
validation,semantic_behavioral,0.0,0.5,0.5,244647,0.6248594914305101,0.8655368755799172,0.3461248921392206,11.972114924769157,171.65191240003332
