split,lexical_weight,semantic_weight,behavioral_weight,impressions,hit_at_5,hit_at_10,mrr,mean_candidates,runtime_seconds
train,0.3333333333333333,0.3333333333333333,0.3333333333333333,232887,0.6275575708390765,0.8795767904606097,0.33969371406923915,11.103011331675877,149.10149920010008
validation,0.3333333333333333,0.3333333333333333,0.3333333333333333,244647,0.5990140896884082,0.8565770273087346,0.3280080577011883,11.972114924769157,159.98844280000776
