split,impressions,hit_at_5,hit_at_10,mrr,mean_candidates,runtime_seconds
train,100,0.55,0.85,0.29223889019477256,11.58,0.11302889999933541
validation,100,0.54,0.88,0.32949050966059745,10.11,0.11042520008049905
