split,lexical_weight,semantic_weight,behavioral_weight,impressions,hit_at_5,hit_at_10,mrr,mean_candidates,runtime_seconds
train,0.0,0.0,1.0,232887,0.655150351887396,0.8924070471945622,0.34857288455724406,11.103011331675877,517.9732410999713
train,0.0,0.1,0.9,232887,0.6597749122965215,0.8924156350504752,0.3619318540041365,11.103011331675877,517.9732410999713
train,0.0,0.2,0.8,232887,0.6585897881805339,0.892261053644042,0.3611040514970837,11.103011331675877,517.9732410999713
train,0.0,0.3,0.7,232887,0.6577739418688033,0.8917243126494824,0.3598558342011133,11.103011331675877,517.9732410999713
train,0.0,0.4,0.6,232887,0.6546436683885318,0.8902128500088026,0.35800729992805613,11.103011331675877,517.9732410999713
train,0.0,0.5,0.5,232887,0.6483530639322933,0.8878941289123051,0.35381463177501354,11.103011331675877,517.9732410999713
train,0.0,0.6,0.4,232887,0.6387089017420465,0.8828101182118366,0.3486204376874121,11.103011331675877,517.9732410999713
train,0.0,0.7,0.3,232887,0.6274716922799469,0.8771292515254179,0.3426122756402605,11.103011331675877,517.9732410999713
train,0.0,0.8,0.2,232887,0.6167969873801458,0.8707742381498323,0.3354418317540486,11.103011331675877,517.9732410999713
train,0.0,0.9,0.1,232887,0.6062210428233435,0.8655356460429307,0.32790363614677237,11.103011331675877,517.9732410999713
train,0.0,1.0,0.0,232887,0.5968989252298325,0.8605203381897658,0.32037131889514714,11.103011331675877,517.9732410999713
train,0.1,0.0,0.9,232887,0.655996255694822,0.8907581788592751,0.35777649206945533,11.103011331675877,517.9732410999713
train,0.1,0.1,0.8,232887,0.656168012813081,0.8908354695624917,0.3579466577031394,11.103011331675877,517.9732410999713
train,0.1,0.2,0.7,232887,0.6555926264669132,0.8909213481216213,0.3580126918470263,11.103011331675877,517.9732410999713
train,0.1,0.3,0.6,232887,0.6533726657134147,0.8900067414668916,0.3566890164778473,11.103011331675877,517.9732410999713
train,0.1,0.4,0.5,232887,0.6482457157333814,0.8879885953273476,0.35379030148662305,11.103011331675877,517.9732410999713
train,0.1,0.5,0.4,232887,0.6393401091516486,0.883578731316046,0.3479708100656113,11.103011331675877,517.9732410999713
train,0.1,0.6,0.3,232887,0.627183999106863,0.8770734304619837,0.34170911448373353,11.103011331675877,517.9732410999713
train,0.1,0.7,0.2,232887,0.6155646300566369,0.8710576373949598,0.3341069040429011,11.103011331675877,517.9732410999713
train,0.1,0.8,0.1,232887,0.6042587177472336,0.8649559657688063,0.3264457814157602,11.103011331675877,517.9732410999713
train,0.1,0.9,0.0,232887,0.594408447015076,0.8598891307801638,0.31882980243901404,11.103011331675877,517.9732410999713
train,0.2,0.0,0.8,232887,0.6538235281488447,0.8901398532335425,0.35643191637132227,11.103011331675877,517.9732410999713
train,0.2,0.1,0.7,232887,0.6531064421801132,0.8899981536109787,0.3558898137261761,11.103011331675877,517.9732410999713
train,0.2,0.2,0.6,232887,0.6518826727125172,0.8892681858583776,0.3547135796433348,11.103011331675877,517.9732410999713
train,0.2,0.3,0.5,232887,0.6473783422861731,0.8873745636295715,0.3521676836404263,11.103011331675877,517.9732410999713
train,0.2,0.4,0.4,232887,0.6385543203356134,0.8836173766676543,0.34686669809228166,11.103011331675877,517.9732410999713
train,0.2,0.5,0.3,232887,0.6255480125554453,0.8777089317995422,0.3400212669779744,11.103011331675877,517.9732410999713
train,0.2,0.6,0.2,232887,0.6131900878967053,0.8707527685100499,0.33273720172778337,11.103011331675877,517.9732410999713
train,0.2,0.7,0.1,232887,0.6019571723625621,0.864835735786025,0.32487259870360113,11.103011331675877,517.9732410999713
train,0.2,0.8,0.0,232887,0.5921197834142738,0.8596272011748187,0.3174975380182866,11.103011331675877,517.9732410999713
train,0.3,0.0,0.7,232887,0.6513802831416095,0.8891264862358139,0.35429428562496024,11.103011331675877,517.9732410999713
train,0.3,0.1,0.6,232887,0.6491646163160675,0.888198997797215,0.3531803392249182,11.103011331675877,517.9732410999713
train,0.3,0.2,0.5,232887,0.6452657297315866,0.8865930687414927,0.35031037562474887,11.103011331675877,517.9732410999713
train,0.3,0.3,0.4,232887,0.6366091709713294,0.8834499134773517,0.34482146500397054,11.103011331675877,517.9732410999713
train,0.3,0.4,0.3,232887,0.6239377895717666,0.877481353617849,0.3383065227107173,11.103011331675877,517.9732410999713
train,0.3,0.5,0.2,232887,0.6100812840562161,0.8705981871036168,0.3306325233070846,11.103011331675877,517.9732410999713
train,0.3,0.6,0.1,232887,0.598831192810247,0.8643247583592043,0.3230672794969518,11.103011331675877,517.9732410999713
train,0.3,0.7,-0.0,232887,0.5892471456113909,0.85929656872217,0.31594855138071715,11.103011331675877,517.9732410999713
train,0.4,0.0,0.6,232887,0.6462103938820114,0.8869666404737061,0.3509673501793021,11.103011331675877,517.9732410999713
train,0.4,0.1,0.5,232887,0.6417275330954497,0.8850601364610304,0.34802512348708037,11.103011331675877,517.9732410999713
train,0.4,0.2,0.4,232887,0.6321907191041148,0.8821789108022345,0.3427365433167457,11.103011331675877,517.9732410999713
train,0.4,0.3,0.3,232887,0.6202407176012401,0.8770691365340272,0.33571095069610807,11.103011331675877,517.9732410999713
train,0.4,0.4,0.2,232887,0.6075865119135031,0.8702374971552728,0.32850812115113426,11.103011331675877,517.9732410999713
train,0.4,0.5,0.1,232887,0.5957052132579319,0.8638481323560353,0.3215010208780257,11.103011331675877,517.9732410999713
train,0.4,0.6,-0.0,232887,0.5860481692838158,0.8584721345545264,0.31457074102323146,11.103011331675877,517.9732410999713
train,0.5,0.0,0.5,232887,0.6369999184153688,0.8837247248665662,0.34467366921250986,11.103011331675877,517.9732410999713
train,0.5,0.1,0.4,232887,0.6285967014045438,0.8798988350573455,0.33998696029315983,11.103011331675877,517.9732410999713
train,0.5,0.2,0.3,232887,0.6167325784607985,0.8753300957116541,0.3335469236812388,11.103011331675877,517.9732410999713
train,0.5,0.3,0.2,232887,0.6039667306461932,0.8691811908779794,0.32651886038180145,11.103011331675877,517.9732410999713
train,0.5,0.4,0.1,232887,0.5921798984056645,0.862899174277654,0.31939089116563457,11.103011331675877,517.9732410999713
train,0.5,0.5,0.0,232887,0.582853486884197,0.8574372979170155,0.3132185221691788,11.103011331675877,517.9732410999713
train,0.6,0.0,0.4,232887,0.6239678470674619,0.8781168549554076,0.33710372759180657,11.103011331675877,517.9732410999713
train,0.6,0.1,0.3,232887,0.6129882732827509,0.8736339941688458,0.33115686012141016,11.103011331675877,517.9732410999713
